epoch,train_loss,val_loss,val_macro_auroc,val_macro_ap,val_macro_f1_at_0p5,clean_count,clean_fraction,independent_count,independent_fraction,electrode_count,electrode_fraction,snr_20_count,snr_10_count,combo_RA_LA_LL_count,combo_V1_count,combo_V2_count,combo_V3_count,combo_V4_count,combo_V5_count,combo_V6_count,combo_RA_LA_count,combo_LA_LL_count,combo_RA_LL_count,actual_snr_db_count,actual_snr_db_mean,actual_snr_db_std,actual_snr_db_min,actual_snr_db_max,actual_snr_error_db_count,actual_snr_error_db_mean,actual_snr_error_db_std,actual_snr_error_db_min,actual_snr_error_db_max,rms_match_relative_error_count,rms_match_relative_error_mean,rms_match_relative_error_std,rms_match_relative_error_min,rms_match_relative_error_max,exposure_count,unique_records,exposure_min,exposure_max,order_sha256,epoch_seconds,elapsed_seconds
1,0.3534431970808886,0.3192991577679047,0.90005466715022,0.767783342232879,0.6705233973549645,8557,0.5008780145165067,0,0.0,8527,0.49912198548349335,4284,4243,2106,705,732,753,724,732,702,690,706,677,8527,15.024041234635604,4.999942097530914,10.000000001003631,19.99999990540757,8527,-4.6002370377507294e-08,1.0461752361619813e-07,-2.068856055359447e-07,1.1984136705223136e-07,0,,,,,17084,17084,1,1,6f1993399597817707f8a6b450062b2ac9dfbae97e3c26fdbafa3876f3c71b9f,64.13655199995264,64.19035930000246
2,0.2981267441173148,0.31868348264405355,0.9023422974587956,0.7685513430500205,0.661733114812908,8609,0.5039217981737298,0,0.0,8475,0.4960782018262702,4228,4247,2123,702,715,706,714,718,691,711,698,697,8475,14.98879051513723,4.999987330897764,10.000000006045699,19.999999909982037,8475,-4.533474514036005e-08,1.0473019750823725e-07,-2.0079917106841094e-07,1.1541161981654113e-07,0,,,,,17084,17084,1,1,fbd58fae15581851333b2214e431e4c878b08718e1fb3a217b594860e952daf6,64.34865339996759,128.71943110006396
3,0.278048227847083,0.3473701717302495,0.9057408512746274,0.7732792108523187,0.6752213477980467,8566,0.5014048232264107,0,0.0,8518,0.49859517677358933,4279,4239,2123,701,748,663,729,733,696,729,714,682,8518,15.023479644067839,4.999944766388204,9.999999996506046,19.999999907024254,8518,-4.6000252086647536e-08,1.0454412742718371e-07,-2.137868833074208e-07,1.2701496565625803e-07,0,,,,,17084,17084,1,1,ad67e97da31c6c6e8d53390b7c91f1e4d7043ce88f71d312e20617a99f4c028d,64.59894319996238,193.50890710006934
4,0.26690582902781496,0.31208102242588887,0.9112260041334513,0.7829308723019419,0.6837965219152518,8471,0.4958440646218684,0,0.0,8613,0.5041559353781316,4347,4266,2180,680,721,685,706,705,756,722,741,717,8613,15.047021897255693,4.999778784762006,10.000000007610563,19.99999990770998,8613,-4.631797620008913e-08,1.0482161743800076e-07,-2.1273390871101583e-07,1.3131747955696937e-07,0,,,,,17084,17084,1,1,c142015265109bf3115a5aa0f57e38dc3fab483d906ce00cc06a64cef26d8520,64.62214450002648,258.3667734999908
5,0.25807114191452757,0.31500630232072385,0.9095568786864419,0.7812706180759253,0.6844034747744681,8600,0.5033949894638258,0,0.0,8484,0.4966050105361742,4278,4206,2150,753,693,687,695,695,710,702,724,675,8484,15.042432768408927,4.999819838325064,10.000000004116355,19.999999909081193,8484,-4.630111526473261e-08,1.0486163241406535e-07,-2.0785584453619776e-07,1.1235367836093246e-07,0,,,,,17084,17084,1,1,dade26ffcc8a2911f46ab1e4d268ba84ddb9b1c58115b0808cdb5dc759a968f2,64.69494549999945,323.24016730010044
6,0.24644523650386857,0.32022314052768436,0.9071898990568545,0.7754429473178837,0.6874983843920658,8487,0.49678061343947555,0,0.0,8597,0.5032193865605245,4293,4304,2127,718,710,752,743,710,733,690,721,693,8597,14.993602373917586,4.9999958032336025,10.000000004578386,19.99999991520038,8597,-4.5531059557781e-08,1.0467843166918593e-07,-2.0674688983035594e-07,1.2255862102961146e-07,0,,,,,17084,17084,1,1,467dd47a25244e09706bde8ac41065cc546707cb4f27da0ad6133713ad558b08,64.67982439999469,388.07540850003716
7,0.23619862624756544,0.31419798951224537,0.9087633908541571,0.7821765587412187,0.6928876353308409,8554,0.5007024116132054,0,0.0,8530,0.49929758838679467,4312,4218,2117,723,698,700,709,727,710,694,683,769,8530,15.055099601587516,4.999696289732863,10.00000000380733,19.999999916625647,8530,-4.6712602228999455e-08,1.0472863108846536e-07,-2.0153838065084528e-07,1.1682664080581162e-07,0,,,,,17084,17084,1,1,9b1e3ba6fb1ffb38c9d8671f19590bb288d9a441da139fd6b1bf23228f78f504,64.48491300002206,452.72032190009486
8,0.2302126382928742,0.307138769318873,0.9129802510771773,0.7881047777859063,0.6862090439472122,8397,0.4915125263404355,0,0.0,8687,0.5084874736595645,4354,4333,2170,704,725,765,728,750,714,701,704,726,8687,15.012086980865268,4.999985286376189,9.999999991235782,19.999999897766763,8687,-4.572618893900803e-08,1.0475622824574215e-07,-2.0995444316440626e-07,1.1227083263065651e-07,0,,,,,17084,17084,1,1,75468ff6879ce64a6a157dc434c08871dd4de7635c12c2ce1f1b2ad2f4075bd5,66.11257940006908,518.9773097001016
9,0.22079389331436247,0.32258746716760633,0.9095104456400447,0.7844146040269372,0.6985605104314507,8453,0.4947904472020604,0,0.0,8631,0.5052095527979396,4335,4296,2110,725,734,744,716,695,718,708,742,739,8631,15.022592932967195,4.999948851394272,10.00000000346154,19.999999901150673,8631,-4.5830163898834474e-08,1.0486930887790251e-07,-2.088409836176197e-07,1.1781018116607811e-07,0,,,,,17084,17084,1,1,10fb885a96964f2e8bd2b999aae630737767628593af55893ce76b666480277d,64.77004450000823,583.9134456000756
10,0.20840029739448768,0.3250632069150866,0.9074310972188477,0.7785007226761659,0.710651976708531,8544,0.5001170686022008,0,0.0,8540,0.4998829313977991,4273,4267,2183,686,662,699,675,731,726,760,692,726,8540,15.003512835081114,4.999998662068528,10.000000001407914,19.999999905485794,8540,-4.548094569143048e-08,1.0466919923350499e-07,-2.1294543017802425e-07,1.2544716199158756e-07,0,,,,,17084,17084,1,1,c43fa8848e27a9dad9600a8851c9d51e9dcfa0822f675e9318c3128612db87e3,64.66811219998635,648.7469964000629
