epoch,train_loss,val_loss,val_macro_auroc,val_macro_ap,val_macro_f1_at_0p5,clean_count,clean_fraction,independent_count,independent_fraction,electrode_count,electrode_fraction,snr_20_count,snr_10_count,combo_RA_LA_LL_count,combo_V1_count,combo_V2_count,combo_V3_count,combo_V4_count,combo_V5_count,combo_V6_count,combo_RA_LA_count,combo_LA_LL_count,combo_RA_LL_count,actual_snr_db_count,actual_snr_db_mean,actual_snr_db_std,actual_snr_db_min,actual_snr_db_max,actual_snr_error_db_count,actual_snr_error_db_mean,actual_snr_error_db_std,actual_snr_error_db_min,actual_snr_error_db_max,rms_match_relative_error_count,rms_match_relative_error_mean,rms_match_relative_error_std,rms_match_relative_error_min,rms_match_relative_error_max,exposure_count,unique_records,exposure_min,exposure_max,order_sha256,epoch_seconds,elapsed_seconds
1,0.5512750959396362,0.5202821469306946,0.7234287203808231,0.46372351960751984,0.14895729890764647,2014,0.5035,0,0.0,1986,0.4965,978,1008,480,178,185,155,157,173,162,155,177,164,1986,14.924471255062938,4.99942940529015,10.000000004177865,19.999999914546926,1986,-4.403071694156238e-08,1.0453612642548633e-07,-2.0443500758915434e-07,1.1795698284799983e-07,0,,,,,4000,4000,1,1,dcdba62de8fb4f0d3f2c5211de34804375300b1c928e783ec55073b67f6ca8ef,9.120150999980979,9.149303199956194
2,0.4740101194381714,0.4924527454376221,0.7878049382057489,0.5227805472971961,0.24301571100754998,1973,0.49325,0,0.0,2027,0.50675,1009,1018,497,160,170,151,160,172,188,185,171,173,2027,14.9777996589697,4.999950610383666,10.00000001163716,19.999999906518227,2027,-4.50263540692202e-08,1.0488705193094501e-07,-1.9853553112625377e-07,1.0941612416104363e-07,0,,,,,4000,4000,1,1,75ba37616cf03ce37219c020a3cc0f40aa54a93b0222f8e76b09a04de4205676,8.703666700050235,17.92615209997166
3,0.41845459580421446,0.48096230030059817,0.8132698464188319,0.5663302143639872,0.3106132834484447,1960,0.49,0,0.0,2040,0.51,996,1044,512,156,174,186,176,160,176,166,176,158,2040,14.88235289770604,4.998615621573955,10.000000006835299,19.999999889610287,2040,-4.347043089500783e-08,1.04469067682873e-07,-2.10223344510041e-07,1.0535017302970573e-07,0,,,,,4000,4000,1,1,66f965b4db32e8a5893a8f2598086467f1aa79ba63fb0d2fb52d5efcbb6fa1a1,8.676603899919428,26.67443309992086
4,0.401173063993454,0.40295842146873473,0.832060554618287,0.6245992493295656,0.5136027687222268,1976,0.494,0,0.0,2024,0.506,1020,1004,503,177,152,166,187,172,191,153,177,146,2024,15.039525646056813,4.999843665705119,10.000000001199163,19.999999906120532,2024,-4.5642792174680376e-08,1.0469635434816757e-07,-1.9507625026449205e-07,1.2068300847545288e-07,0,,,,,4000,4000,1,1,d7975b4e32cc8e63fe2adae23269cbf13313ee2d1e6559c1ac078bafa002f799,8.55654899997171,35.30758949997835
5,0.3815258731842041,0.3919228332042694,0.8451473447106818,0.6567280717981341,0.5388857978548975,1916,0.479,0,0.0,2084,0.521,1053,1031,537,169,168,172,162,161,193,166,171,185,2084,15.05278306270352,4.999721282258646,10.000000006069227,19.999999901317906,2084,-4.6701470487769375e-08,1.0515804752168933e-07,-2.0046428161890617e-07,1.19591652136819e-07,0,,,,,4000,4000,1,1,d59bdaeaf485d0deb698ff7e57a27e45e179d7ccc952e5b4017143b014dd8cf5,8.789521200000308,44.17038479994517
6,0.36814970755577087,0.39496481728553773,0.8563506457583969,0.6796153848199712,0.557626791999777,1960,0.49,0,0.0,2040,0.51,1012,1028,513,164,182,181,183,156,169,168,153,171,2040,14.960784269289714,4.999846106489875,10.000000009632465,19.99999989563374,2040,-4.443577544004939e-08,1.0497852374336768e-07,-1.992057470090458e-07,1.0280758644398702e-07,0,,,,,4000,4000,1,1,830ad710e78451e6c21ca719bbd9277817b9b059b70803fcf87ac7d9faa7d23b,8.914881400065497,53.162423199974
7,0.35598108744621276,0.4224098527431488,0.8588277526033572,0.6863785368423041,0.5463418082061675,1963,0.49075,0,0.0,2037,0.50925,1035,1002,512,151,167,172,167,167,156,194,165,186,2037,15.08100142570709,4.999343728755189,10.00000000128246,19.99999990962372,2037,-4.7046960765628646e-08,1.0511457360831149e-07,-1.9692179975550061e-07,1.0916763670820728e-07,0,,,,,4000,4000,1,1,ab31f0bba387094118b432cdb6bdc1125af3308b42b927e581eb8eec495638ea,8.613262499915436,61.86101279989816
8,0.35238097405433655,0.37916767740249635,0.8665562891095953,0.7010073000917725,0.594794508647776,1969,0.49225,0,0.0,2031,0.50775,1008,1023,514,157,180,162,179,153,162,180,170,174,2031,14.96307233374794,4.9998635294220195,10.000000000343663,19.999999909374452,2031,-4.439090886746885e-08,1.0453629965864749e-07,-2.060310393403597e-07,1.0665046801250355e-07,0,,,,,4000,4000,1,1,e3b0d42c8b9ad78797c2db4f340878f44c6c2d229bdf47b7b6921172a3fdad68,8.661817700020038,70.59626289992593
9,0.3416574466228485,0.3811888031959534,0.8697442891209516,0.7104823590030165,0.6123871646060661,1989,0.49725,0,0.0,2011,0.50275,972,1039,496,155,164,164,183,153,165,170,188,173,2011,14.83341616856398,4.997224109333541,10.000000002803608,19.999999894843583,2011,-4.227639916158736e-08,1.0505041055562923e-07,-1.9419996633018854e-07,1.0309087272730721e-07,0,,,,,4000,4000,1,1,de185a49bae8cc50bfcb16ee0fd509e0ddae28c227eb8d4d4fdb57a394a2c7f4,8.877531700069085,79.56562989996746
10,0.3427150433063507,0.3499518098831177,0.8766426862163496,0.7240498554605663,0.6437620779443789,1938,0.4845,0,0.0,2062,0.5155,1036,1026,504,182,183,165,215,147,171,185,168,142,2062,15.024248257106724,4.999941097458424,10.000000004280853,19.999999907497866,2062,-4.551209274392796e-08,1.0495293579455488e-07,-2.0169481018683655e-07,1.0710635756083775e-07,0,,,,,4000,4000,1,1,183cd88c632483d86dd8663472bd6a942c876b483a2da33274244c15ef78fdee,8.807377299992368,88.45138479990419
